respondent_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
14,Не использую,Не встроен,Нет опыта,Доверяю только простым фрагментам,Использование запрещено,Интеграции нет,Почти никакого,"Скорее нет, чем да"
15,"Редко, для отдельных задач",Не встроен,Базовый уровень,Почти не доверяю,Отношение нейтральное,Использую только веб-интерфейсы,"Небольшой, до 10%","Скорее да, чем нет"
16,"Редко, для отдельных задач",Не встроен,Нет опыта,Почти не доверяю,Отношение нейтральное,Интеграции нет,"Существенный, более 30%",Нет
17,Регулярно несколько раз в неделю,Используется на нескольких этапах,Уверенный уровень,Доверяю типовым решениям,Использование разрешено и ограниченно регламентировано,Есть плагины/расширения в IDE,"Небольшой, до 10%","Скорее да, чем нет"
18,"Редко, для отдельных задач",Не встроен,Уверенный уровень,Доверяю только простым фрагментам,Использование поощряется,Есть интеграция в IDE и/или командные процессы,"Существенный, более 30%","Скорее да, чем нет"
19,Не использую,Покрывает почти весь цикл разработки,Уверенный уровень,Часто принимаю AI-решение после ревью,Использование поощряется,Есть интеграция в IDE и/или командные процессы,"Небольшой, до 10%","Скорее да, чем нет"
20,"Редко, для отдельных задач",Не встроен,Нет опыта,Почти не доверяю,Использование поощряется,Использую только веб-интерфейсы,"Небольшой, до 10%",Нет
21,Регулярно несколько раз в неделю,Покрывает почти весь цикл разработки,Базовый уровень,Доверяю типовым решениям,Использование поощряется,Есть плагины/расширения в IDE,"Заметный, 10-30%","Скорее да, чем нет"
22,Не использую,Не встроен,Базовый уровень,Доверяю только простым фрагментам,Использование разрешено и ограниченно регламентировано,Есть плагины/расширения в IDE,Почти никакого,"Скорее нет, чем да"
23,"Редко, для отдельных задач",Используется на одном этапе работы,Базовый уровень,Доверяю только простым фрагментам,Использование разрешено и ограниченно регламентировано,Интеграции нет,Почти никакого,Нет
24,Регулярно несколько раз в неделю,Не встроен,Уверенный уровень,Доверяю типовым решениям,Использование разрешено и ограниченно регламентировано,Есть плагины/расширения в IDE,Почти никакого,"Скорее нет, чем да"
25,Регулярно несколько раз в неделю,Используется на одном этапе работы,Базовый уровень,Доверяю типовым решениям,Использование разрешено и ограниченно регламентировано,Использую только веб-интерфейсы,"Заметный, 10-30%","Скорее нет, чем да"
26,Регулярно несколько раз в неделю,Покрывает почти весь цикл разработки,Продвинутый уровень,Часто принимаю AI-решение после ревью,Использование поощряется,Есть интеграция в IDE и/или командные процессы,"Существенный, более 30%","Да, планирую активное расширение"
27,"Редко, для отдельных задач",Не встроен,Нет опыта,Почти не доверяю,Использование запрещено,Есть интеграция в IDE и/или командные процессы,"Заметный, 10-30%","Скорее нет, чем да"
28,"Редко, для отдельных задач",Используется на одном этапе работы,Базовый уровень,Доверяю только простым фрагментам,Использование разрешено и ограниченно регламентировано,Есть плагины/расширения в IDE,"Заметный, 10-30%","Скорее да, чем нет"
29,Практически ежедневно,Используется на нескольких этапах,Уверенный уровень,Доверяю типовым решениям,Использование разрешено и ограниченно регламентировано,Использую только веб-интерфейсы,"Небольшой, до 10%","Да, планирую активное расширение"
30,Не использую,Не встроен,Нет опыта,Почти не доверяю,Использование разрешено и ограниченно регламентировано,Использую только веб-интерфейсы,Почти никакого,Нет
31,"Редко, для отдельных задач",Используется на нескольких этапах,Базовый уровень,Доверяю только простым фрагментам,Использование разрешено и ограниченно регламентировано,Есть плагины/расширения в IDE,"Заметный, 10-30%","Скорее нет, чем да"
32,Не использую,Используется на одном этапе работы,Нет опыта,Доверяю типовым решениям,Отношение нейтральное,Интеграции нет,Почти никакого,"Скорее нет, чем да"
33,Не использую,Не встроен,Уверенный уровень,Почти не доверяю,Отношение нейтральное,Использую только веб-интерфейсы,Почти никакого,"Скорее нет, чем да"
34,Практически ежедневно,Покрывает почти весь цикл разработки,Продвинутый уровень,Часто принимаю AI-решение после ревью,Использование разрешено и ограниченно регламентировано,Есть плагины/расширения в IDE,"Заметный, 10-30%","Скорее нет, чем да"
35,Регулярно несколько раз в неделю,Покрывает почти весь цикл разработки,Уверенный уровень,Доверяю типовым решениям,Использование поощряется,Использую только веб-интерфейсы,"Существенный, более 30%","Да, планирую активное расширение"
36,Регулярно несколько раз в неделю,Покрывает почти весь цикл разработки,Продвинутый уровень,Часто принимаю AI-решение после ревью,Использование поощряется,Есть интеграция в IDE и/или командные процессы,"Заметный, 10-30%","Скорее да, чем нет"
37,Регулярно несколько раз в неделю,Используется на нескольких этапах,Продвинутый уровень,Доверяю только простым фрагментам,Использование разрешено и ограниченно регламентировано,Есть плагины/расширения в IDE,"Небольшой, до 10%","Да, планирую активное расширение"
38,"Редко, для отдельных задач",Не встроен,Базовый уровень,Доверяю только простым фрагментам,Использование запрещено,Есть плагины/расширения в IDE,Почти никакого,"Скорее да, чем нет"
39,"Редко, для отдельных задач",Используется на нескольких этапах,Базовый уровень,Почти не доверяю,Использование поощряется,Использую только веб-интерфейсы,"Небольшой, до 10%","Да, планирую активное расширение"
40,Практически ежедневно,Используется на нескольких этапах,Уверенный уровень,Доверяю только простым фрагментам,Использование разрешено и ограниченно регламентировано,Использую только веб-интерфейсы,"Заметный, 10-30%","Да, планирую активное расширение"
41,"Редко, для отдельных задач",Используется на одном этапе работы,Нет опыта,Почти не доверяю,Использование запрещено,Интеграции нет,Почти никакого,"Скорее да, чем нет"
42,"Редко, для отдельных задач",Используется на одном этапе работы,Базовый уровень,Доверяю типовым решениям,Использование разрешено и ограниченно регламентировано,Использую только веб-интерфейсы,"Небольшой, до 10%","Скорее да, чем нет"
43,Не использую,Используется на одном этапе работы,Базовый уровень,Почти не доверяю,Использование запрещено,Есть интеграция в IDE и/или командные процессы,Почти никакого,Нет
44,Практически ежедневно,Покрывает почти весь цикл разработки,Продвинутый уровень,Часто принимаю AI-решение после ревью,Использование поощряется,Есть плагины/расширения в IDE,"Существенный, более 30%","Да, планирую активное расширение"
45,Не использую,Используется на нескольких этапах,Нет опыта,Почти не доверяю,Использование запрещено,Интеграции нет,Почти никакого,Нет
46,"Редко, для отдельных задач",Используется на нескольких этапах,Уверенный уровень,Доверяю типовым решениям,Использование поощряется,Использую только веб-интерфейсы,"Небольшой, до 10%","Да, планирую активное расширение"
47,"Редко, для отдельных задач",Покрывает почти весь цикл разработки,Нет опыта,Часто принимаю AI-решение после ревью,Отношение нейтральное,Есть интеграция в IDE и/или командные процессы,"Заметный, 10-30%","Да, планирую активное расширение"
48,"Редко, для отдельных задач",Используется на нескольких этапах,Продвинутый уровень,Доверяю типовым решениям,Использование разрешено и ограниченно регламентировано,Есть плагины/расширения в IDE,"Заметный, 10-30%","Скорее да, чем нет"
49,Регулярно несколько раз в неделю,Покрывает почти весь цикл разработки,Нет опыта,Доверяю только простым фрагментам,Использование поощряется,Есть интеграция в IDE и/или командные процессы,"Заметный, 10-30%","Скорее да, чем нет"
50,Не использую,Не встроен,Нет опыта,Почти не доверяю,Отношение нейтральное,Интеграции нет,"Существенный, более 30%","Да, планирую активное расширение"
51,Практически ежедневно,Покрывает почти весь цикл разработки,Продвинутый уровень,Часто принимаю AI-решение после ревью,Использование поощряется,Есть плагины/расширения в IDE,"Существенный, более 30%","Да, планирую активное расширение"
52,Практически ежедневно,Покрывает почти весь цикл разработки,Продвинутый уровень,Часто принимаю AI-решение после ревью,Использование поощряется,Есть интеграция в IDE и/или командные процессы,"Небольшой, до 10%","Скорее нет, чем да"
53,Практически ежедневно,Покрывает почти весь цикл разработки,Продвинутый уровень,Доверяю типовым решениям,Использование поощряется,Есть интеграция в IDE и/или командные процессы,"Существенный, более 30%","Да, планирую активное расширение"
54,Практически ежедневно,Покрывает почти весь цикл разработки,Продвинутый уровень,Доверяю типовым решениям,Отношение нейтральное,Есть интеграция в IDE и/или командные процессы,"Существенный, более 30%","Да, планирую активное расширение"
55,Практически ежедневно,Используется на нескольких этапах,Уверенный уровень,Часто принимаю AI-решение после ревью,Использование поощряется,Использую только веб-интерфейсы,"Заметный, 10-30%","Скорее нет, чем да"
56,Практически ежедневно,Покрывает почти весь цикл разработки,Уверенный уровень,Часто принимаю AI-решение после ревью,Использование поощряется,Есть интеграция в IDE и/или командные процессы,"Заметный, 10-30%","Да, планирую активное расширение"
57,Не использую,Используется на одном этапе работы,Нет опыта,Доверяю типовым решениям,Отношение нейтральное,Использую только веб-интерфейсы,"Заметный, 10-30%",Нет
58,Не использую,Не встроен,Базовый уровень,Доверяю только простым фрагментам,Использование разрешено и ограниченно регламентировано,Интеграции нет,Почти никакого,Нет
59,Не использую,Не встроен,Нет опыта,Почти не доверяю,Использование разрешено и ограниченно регламентировано,Интеграции нет,Почти никакого,"Скорее да, чем нет"
60,"Редко, для отдельных задач",Используется на нескольких этапах,Продвинутый уровень,Часто принимаю AI-решение после ревью,Отношение нейтральное,Есть интеграция в IDE и/или командные процессы,"Заметный, 10-30%","Скорее да, чем нет"
61,"Редко, для отдельных задач",Покрывает почти весь цикл разработки,Уверенный уровень,Доверяю только простым фрагментам,Использование разрешено и ограниченно регламентировано,Использую только веб-интерфейсы,"Небольшой, до 10%","Скорее нет, чем да"
62,Не использую,Не встроен,Нет опыта,Доверяю только простым фрагментам,Использование запрещено,Интеграции нет,"Заметный, 10-30%","Скорее нет, чем да"
63,Практически ежедневно,Используется на нескольких этапах,Уверенный уровень,Доверяю только простым фрагментам,Использование разрешено и ограниченно регламентировано,Есть плагины/расширения в IDE,"Заметный, 10-30%","Скорее да, чем нет"
64,"Редко, для отдельных задач",Используется на нескольких этапах,Базовый уровень,Доверяю только простым фрагментам,Использование разрешено и ограниченно регламентировано,Есть плагины/расширения в IDE,Почти никакого,"Да, планирую активное расширение"
65,Не использую,Не встроен,Уверенный уровень,Доверяю типовым решениям,Использование запрещено,Интеграции нет,"Заметный, 10-30%","Скорее нет, чем да"
66,"Редко, для отдельных задач",Используется на одном этапе работы,Базовый уровень,Доверяю типовым решениям,Использование разрешено и ограниченно регламентировано,Использую только веб-интерфейсы,"Заметный, 10-30%","Да, планирую активное расширение"
67,Не использую,Не встроен,Базовый уровень,Доверяю типовым решениям,Отношение нейтральное,Интеграции нет,Почти никакого,"Скорее нет, чем да"
68,Практически ежедневно,Используется на нескольких этапах,Уверенный уровень,Часто принимаю AI-решение после ревью,Отношение нейтральное,Есть интеграция в IDE и/или командные процессы,"Заметный, 10-30%","Да, планирую активное расширение"
69,Не использую,Используется на нескольких этапах,Базовый уровень,Доверяю только простым фрагментам,Использование разрешено и ограниченно регламентировано,Интеграции нет,Почти никакого,"Скорее нет, чем да"
70,Практически ежедневно,Покрывает почти весь цикл разработки,Продвинутый уровень,Доверяю типовым решениям,Использование разрешено и ограниченно регламентировано,Есть интеграция в IDE и/или командные процессы,"Существенный, более 30%","Да, планирую активное расширение"
71,Практически ежедневно,Покрывает почти весь цикл разработки,Продвинутый уровень,Доверяю типовым решениям,Использование разрешено и ограниченно регламентировано,Есть плагины/расширения в IDE,"Заметный, 10-30%","Скорее да, чем нет"
72,Не использую,Не встроен,Нет опыта,Доверяю типовым решениям,Использование запрещено,Интеграции нет,Почти никакого,"Да, планирую активное расширение"
73,Не использую,Не встроен,Продвинутый уровень,Доверяю типовым решениям,Использование разрешено и ограниченно регламентировано,Интеграции нет,Почти никакого,"Скорее нет, чем да"
74,Практически ежедневно,Покрывает почти весь цикл разработки,Продвинутый уровень,Доверяю типовым решениям,Использование поощряется,Есть плагины/расширения в IDE,"Существенный, более 30%","Да, планирую активное расширение"
75,Практически ежедневно,Используется на нескольких этапах,Уверенный уровень,Часто принимаю AI-решение после ревью,Использование разрешено и ограниченно регламентировано,Есть интеграция в IDE и/или командные процессы,"Заметный, 10-30%","Да, планирую активное расширение"
76,Практически ежедневно,Используется на одном этапе работы,Продвинутый уровень,Доверяю типовым решениям,Отношение нейтральное,Есть интеграция в IDE и/или командные процессы,"Существенный, более 30%","Да, планирую активное расширение"
77,Регулярно несколько раз в неделю,Покрывает почти весь цикл разработки,Продвинутый уровень,Часто принимаю AI-решение после ревью,Использование поощряется,Есть интеграция в IDE и/или командные процессы,"Существенный, более 30%","Да, планирую активное расширение"
78,"Редко, для отдельных задач",Используется на нескольких этапах,Нет опыта,Доверяю только простым фрагментам,Использование поощряется,Интеграции нет,Почти никакого,"Скорее нет, чем да"
79,Регулярно несколько раз в неделю,Используется на нескольких этапах,Базовый уровень,Доверяю типовым решениям,Отношение нейтральное,Использую только веб-интерфейсы,"Небольшой, до 10%","Да, планирую активное расширение"
80,"Редко, для отдельных задач",Не встроен,Нет опыта,Доверяю типовым решениям,Отношение нейтральное,Использую только веб-интерфейсы,Почти никакого,Нет
81,Практически ежедневно,Покрывает почти весь цикл разработки,Продвинутый уровень,Часто принимаю AI-решение после ревью,Использование разрешено и ограниченно регламентировано,Есть интеграция в IDE и/или командные процессы,"Существенный, более 30%","Да, планирую активное расширение"
82,Практически ежедневно,Используется на нескольких этапах,Базовый уровень,Часто принимаю AI-решение после ревью,Использование разрешено и ограниченно регламентировано,Использую только веб-интерфейсы,"Небольшой, до 10%","Да, планирую активное расширение"
83,Регулярно несколько раз в неделю,Используется на нескольких этапах,Продвинутый уровень,Доверяю типовым решениям,Отношение нейтральное,Использую только веб-интерфейсы,"Небольшой, до 10%","Да, планирую активное расширение"
84,Не использую,Не встроен,Базовый уровень,Доверяю типовым решениям,Отношение нейтральное,Есть плагины/расширения в IDE,Почти никакого,"Скорее да, чем нет"
85,"Редко, для отдельных задач",Используется на одном этапе работы,Уверенный уровень,Доверяю только простым фрагментам,Использование разрешено и ограниченно регламентировано,Есть плагины/расширения в IDE,"Заметный, 10-30%","Скорее да, чем нет"
86,Регулярно несколько раз в неделю,Используется на нескольких этапах,Базовый уровень,Доверяю только простым фрагментам,Отношение нейтральное,Есть интеграция в IDE и/или командные процессы,"Заметный, 10-30%","Скорее да, чем нет"
87,Практически ежедневно,Покрывает почти весь цикл разработки,Уверенный уровень,Часто принимаю AI-решение после ревью,Использование поощряется,Есть интеграция в IDE и/или командные процессы,"Небольшой, до 10%","Да, планирую активное расширение"
88,Практически ежедневно,Используется на нескольких этапах,Уверенный уровень,Часто принимаю AI-решение после ревью,Использование разрешено и ограниченно регламентировано,Использую только веб-интерфейсы,"Заметный, 10-30%","Скорее да, чем нет"
89,Практически ежедневно,Покрывает почти весь цикл разработки,Продвинутый уровень,Часто принимаю AI-решение после ревью,Использование поощряется,Есть плагины/расширения в IDE,"Существенный, более 30%","Да, планирую активное расширение"
90,"Редко, для отдельных задач",Покрывает почти весь цикл разработки,Продвинутый уровень,Доверяю типовым решениям,Использование разрешено и ограниченно регламентировано,Использую только веб-интерфейсы,"Небольшой, до 10%","Скорее да, чем нет"
91,"Редко, для отдельных задач",Не встроен,Нет опыта,Почти не доверяю,Отношение нейтральное,Есть плагины/расширения в IDE,Почти никакого,Нет
92,Практически ежедневно,Покрывает почти весь цикл разработки,Уверенный уровень,Часто принимаю AI-решение после ревью,Использование разрешено и ограниченно регламентировано,Есть плагины/расширения в IDE,"Существенный, более 30%","Да, планирую активное расширение"
93,Практически ежедневно,Покрывает почти весь цикл разработки,Продвинутый уровень,Часто принимаю AI-решение после ревью,Отношение нейтральное,Есть интеграция в IDE и/или командные процессы,"Заметный, 10-30%","Да, планирую активное расширение"
94,"Редко, для отдельных задач",Используется на одном этапе работы,Базовый уровень,Часто принимаю AI-решение после ревью,Использование разрешено и ограниченно регламентировано,Есть плагины/расширения в IDE,"Небольшой, до 10%","Да, планирую активное расширение"
95,Регулярно несколько раз в неделю,Покрывает почти весь цикл разработки,Уверенный уровень,Доверяю типовым решениям,Отношение нейтральное,Есть интеграция в IDE и/или командные процессы,"Существенный, более 30%","Скорее да, чем нет"
96,Регулярно несколько раз в неделю,Используется на нескольких этапах,Уверенный уровень,Доверяю только простым фрагментам,Использование разрешено и ограниченно регламентировано,Есть плагины/расширения в IDE,"Небольшой, до 10%","Скорее нет, чем да"
97,Регулярно несколько раз в неделю,Покрывает почти весь цикл разработки,Базовый уровень,Доверяю только простым фрагментам,Использование разрешено и ограниченно регламентировано,Есть плагины/расширения в IDE,Почти никакого,"Скорее нет, чем да"
98,Регулярно несколько раз в неделю,Используется на нескольких этапах,Нет опыта,Доверяю только простым фрагментам,Использование разрешено и ограниченно регламентировано,Есть плагины/расширения в IDE,Почти никакого,"Скорее нет, чем да"
99,"Редко, для отдельных задач",Не встроен,Базовый уровень,Почти не доверяю,Использование запрещено,Интеграции нет,"Небольшой, до 10%","Скорее да, чем нет"
100,"Редко, для отдельных задач",Не встроен,Базовый уровень,Почти не доверяю,Отношение нейтральное,Есть плагины/расширения в IDE,Почти никакого,Нет
